timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1538060577593,45,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,2516,206,36,36,http://10.0.10.10:9966/petclinic/api/owners,45,0,1
1538060577592,46,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-6,text,true,,2516,206,36,36,http://10.0.10.10:9966/petclinic/api/owners,46,0,2
1538060577594,44,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-5,text,true,,2516,206,36,36,http://10.0.10.10:9966/petclinic/api/owners,44,0,1
1538060577605,10,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-28,text,true,,2516,206,36,36,http://10.0.10.10:9966/petclinic/api/owners,9,0,0
1538060577592,48,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,2516,206,37,37,http://10.0.10.10:9966/petclinic/api/owners,48,0,2
1538060577595,46,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-12,text,true,,2516,206,37,37,http://10.0.10.10:9966/petclinic/api/owners,46,0,1
1538060577595,46,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-11,text,true,,2516,206,37,37,http://10.0.10.10:9966/petclinic/api/owners,46,0,1
1538060577596,46,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-13,text,true,,2516,206,38,38,http://10.0.10.10:9966/petclinic/api/owners,46,0,1
1538060577597,45,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-14,text,true,,2516,206,38,38,http://10.0.10.10:9966/petclinic/api/owners,45,0,0
1538060577598,44,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-16,text,true,,2516,206,38,38,http://10.0.10.10:9966/petclinic/api/owners,44,0,1
1538060577598,45,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-17,text,true,,2516,206,39,39,http://10.0.10.10:9966/petclinic/api/owners,45,0,1
1538060577600,43,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-19,text,true,,2516,206,39,39,http://10.0.10.10:9966/petclinic/api/owners,43,0,0
1538060577600,43,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-18,text,true,,2516,206,39,39,http://10.0.10.10:9966/petclinic/api/owners,43,0,0
1538060577601,43,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-22,text,true,,2516,206,39,39,http://10.0.10.10:9966/petclinic/api/owners,43,0,0
